1,1,739.80,350.10,70.20,228.60,0.78,-1,-1,-1
1,2,217.69,318.15,86.06,145.80,0.77,-1,-1,-1
1,3,841.05,203.85,72.00,165.60,0.76,-1,-1,-1
1,4,779.40,207.90,92.70,170.10,0.76,-1,-1,-1
1,5,544.50,271.57,55.80,194.62,0.74,-1,-1,-1
1,6,480.60,169.09,33.30,149.96,0.73,-1,-1,-1
1,7,931.50,153.45,45.00,140.62,0.72,-1,-1,-1
1,8,213.75,270.67,59.85,180.45,0.70,-1,-1,-1
2,1,739.80,350.10,70.20,228.60,0.78,-1,-1,-1
2,2,217.69,318.15,86.06,145.80,0.77,-1,-1,-1
2,3,841.05,203.85,72.00,165.60,0.76,-1,-1,-1
2,4,779.40,207.90,92.70,170.10,0.76,-1,-1,-1
2,5,544.50,271.57,55.80,194.62,0.74,-1,-1,-1
2,6,480.60,169.09,33.30,149.96,0.73,-1,-1,-1
2,7,931.50,153.45,45.00,140.62,0.72,-1,-1,-1
2,8,213.75,270.67,59.85,180.45,0.70,-1,-1,-1
3,1,740.70,348.75,68.40,229.50,0.78,-1,-1,-1
3,2,217.69,318.15,86.29,145.35,0.77,-1,-1,-1
3,3,841.50,206.10,81.90,162.00,0.75,-1,-1,-1
3,4,780.30,207.00,99.00,169.20,0.76,-1,-1,-1
3,5,544.50,271.12,48.60,195.07,0.75,-1,-1,-1
3,6,481.95,169.42,34.20,149.40,0.74,-1,-1,-1
3,7,930.60,153.34,46.80,140.06,0.70,-1,-1,-1
3,8,213.64,270.45,61.09,180.90,0.70,-1,-1,-1
4,1,741.15,348.30,66.60,229.50,0.78,-1,-1,-1
4,2,217.57,318.15,86.40,145.35,0.77,-1,-1,-1
4,3,845.10,209.70,86.40,160.20,0.76,-1,-1,-1
4,4,777.15,207.90,104.40,165.15,0.75,-1,-1,-1
4,5,544.95,270.67,45.90,195.52,0.76,-1,-1,-1
4,6,481.50,169.20,35.10,149.40,0.74,-1,-1,-1
4,7,931.50,153.67,45.00,139.73,0.71,-1,-1,-1
4,8,213.97,270.45,60.75,181.35,0.70,-1,-1,-1
4,9,490.05,150.07,60.30,143.10,0.70,-1,-1,-1
5,1,740.70,347.85,66.60,230.40,0.78,-1,-1,-1
5,2,217.57,318.15,86.85,145.35,0.77,-1,-1,-1
5,3,836.55,212.62,102.15,156.60,0.76,-1,-1,-1
5,4,776.70,208.12,105.30,166.05,0.76,-1,-1,-1
5,5,544.95,270.67,45.90,195.52,0.76,-1,-1,-1
5,6,481.95,169.20,36.00,149.85,0.75,-1,-1,-1
5,7,931.50,153.90,45.00,139.73,0.63,-1,-1,-1
5,8,214.20,270.45,61.20,181.35,0.71,-1,-1,-1
5,9,490.50,151.31,60.30,142.54,0.71,-1,-1,-1
6,1,739.35,347.40,66.60,230.40,0.78,-1,-1,-1
6,2,217.80,318.15,86.85,145.35,0.77,-1,-1,-1
6,3,846.00,213.30,98.10,151.65,0.77,-1,-1,-1
